 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 1.510 -0.21825 -2.32656
 1.515 -0.22988 -2.32344
 1.520 -0.24149 -2.32003
 1.525 -0.25308 -2.31634
 1.530 -0.26465 -2.31236
 1.535 -0.27620 -2.30809
 1.540 -0.28773 -2.30353
 1.545 -0.29924 -2.29869
 1.550 -0.31072 -2.29356
 1.555 -0.32217 -2.28815
 1.560 -0.33360 -2.28245
 1.565 -0.34500 -2.27647
 1.570 -0.35636 -2.27020
 1.575 -0.36770 -2.26365
 1.580 -0.37900 -2.25682
 1.585 -0.39027 -2.24970
 1.590 -0.40150 -2.24230
 1.595 -0.41269 -2.23462
 1.600 -0.42384 -2.22666
 1.605 -0.43496 -2.21842
 1.610 -0.44603 -2.20990
 1.615 -0.45706 -2.20110
 1.620 -0.46804 -2.19203
 1.625 -0.47898 -2.18268
 1.630 -0.48987 -2.17305
 1.635 -0.50071 -2.16315
 1.640 -0.51150 -2.15297
 1.645 -0.52224 -2.14253
 1.650 -0.53292 -2.13181
 1.655 -0.54355 -2.12082
 1.660 -0.55413 -2.10956
 1.665 -0.56465 -2.09803
 1.670 -0.57511 -2.08624
 1.675 -0.58551 -2.07418
 1.680 -0.59585 -2.06185
 1.685 -0.60613 -2.04927
 1.690 -0.61635 -2.03642
 1.695 -0.62649 -2.02331
 1.700 -0.63658 -2.00994
 1.705 -0.64659 -1.99631
 1.710 -0.65654 -1.98243
 1.715 -0.66642 -1.96829
 1.720 -0.67622 -1.95390
 1.725 -0.68596 -1.93926
 1.730 -0.69562 -1.92437
 1.735 -0.70520 -1.90923
 1.740 -0.71471 -1.89384
 1.745 -0.72414 -1.87821
 1.750 -0.73349 -1.86233
 1.755 -0.74276 -1.84622
 1.760 -0.75195 -1.82986
 1.765 -0.76106 -1.81327
 1.770 -0.77009 -1.79644
 1.775 -0.77903 -1.77937
 1.780 -0.78788 -1.76207
 1.785 -0.79665 -1.74454
 1.790 -0.80533 -1.72679
 1.795 -0.81391 -1.70881
 1.800 -0.82241 -1.69060
 1.805 -0.83082 -1.67217
 1.810 -0.83914 -1.65352
 1.815 -0.84736 -1.63465
 1.820 -0.85548 -1.61557
 1.825 -0.86351 -1.59627
 1.830 -0.87144 -1.57676
 1.835 -0.87928 -1.55704
 1.840 -0.88701 -1.53711
 1.845 -0.89465 -1.51698
 1.850 -0.90218 -1.49665
 1.855 -0.90962 -1.47611
 1.860 -0.91695 -1.45538
 1.865 -0.92417 -1.43445
 1.870 -0.93129 -1.41333
 1.875 -0.93830 -1.39202
 1.880 -0.94521 -1.37052
 1.885 -0.95201 -1.34883
